itemCollection_Mechs_Starting_0,,,
mechdef_centurion_CN9-A,Mech,1,3
mechdef_centurion_CN9-AL,Mech,1,3
mechdef_centurion_CN9-AH,Mech,1,3
mechdef_champion_CHP-1N,Mech,1,2
mechdef_champion_CHP-2N,Mech,1,2
mechdef_dragon_DRG-1N,Mech,1,2
mechdef_dragon_DRG-1C,Mech,1,2
mechdef_dragon_DRG-5N,Mech,1,2
mechdef_granddragon_DRG-1G,Mech,1,2
mechdef_enforcer_ENF-4R,Mech,1,3
mechdef_enforcer_ENF-3R,Mech,1,3
mechdef_griffin_GRF-1N,Mech,1,2
mechdef_griffin_GRF-1S,Mech,1,2
mechdef_griffin_GRF6-1A,Mech,1,2
mechdef_hunchback_HBK-4G,Mech,1,3
mechdef_hunchback_HBK-4P,Mech,1,3
mechdef_hunchback_HBK-4H,Mech,1,3
mechdef_hunchback_HBK-4J,Mech,1,3
mechdef_hunchback_HBK-4N,Mech,1,3
mechdef_hunchback_HBK-4SP,Mech,1,3
mechdef_kintaro_KTO-18,Mech,1,2
mechdef_kintaro_KTO-19,Mech,1,2
mechdef_quickdraw_QKD-4H,Mech,1,2
mechdef_quickdraw_QKD-4G,Mech,1,2
mechdef_quickdraw_QKD-5A,Mech,1,2
mechdef_shadowhawk_SHD-2H,Mech,1,2
mechdef_shadowhawk_SHD-2D,Mech,1,2
mechdef_shadowhawk_SHD-2D2,Mech,1,2
mechdef_shadowhawk_SHD-2K,Mech,1,2
mechdef_trebuchet_TBT-5N,Mech,1,3
mechdef_trebuchet_TBT-5J,Mech,1,3
mechdef_trebuchet_TBT-5S,Mech,1,3
mechdef_trebuchet_TBT-7K,Mech,1,3
mechdef_wolverine_WVR-6R,Mech,1,2
mechdef_wolverine_WVR-6K,Mech,1,2
mechdef_wolverine_WVR-6M,Mech,1,2
