itemCollection_Mechs_Starting_1,,,
mechdef_blackjack_BJ-1,Mech,1,2
mechdef_blackjack_BJ-1DB,Mech,1,2
mechdef_blackjack_BJ-1DC,Mech,1,2
mechdef_blackjack_BJ-1X,Mech,1,2
mechdef_phoenixhawk_PHX-1,Mech,1,2
mechdef_phoenixhawk_PHX-1D,Mech,1,2
mechdef_phoenixhawk_PHX-1K,Mech,1,2
mechdef_phoenixhawk_PHX-2,Mech,1,2
mechdef_vindicator_VND-1R,Mech,1,2
mechdef_vindicator_VND-1AA,Mech,1,2
mechdef_vindicator_VND-1X,Mech,1,2
mechdef_vulcan_VL-2T,Mech,1,3
mechdef_vulcan_VL-5S,Mech,1,3
mechdef_vulcan_VL-5M,Mech,1,3
mechdef_charger_CGR-1A1,Mech,1,4
mechdef_charger_CGR-1L,Mech,1,4
