itemCollection_Mechs_Starting_2,,,
mechdef_assassin_ASN-21,Mech,1,2
mechdef_assassin_ASN-23,Mech,1,2
mechdef_assassin_ASN-101,Mech,1,2
mechdef_firestarter_FS9-H,Mech,1,2
mechdef_firestarter_FS9-A,Mech,1,2
mechdef_firestarter_FS9-K,Mech,1,2
mechdef_firestarter_FS9-M,Mech,1,2
mechdef_jenner_JR7-D,Mech,1,2
mechdef_jenner_JR7-F,Mech,1,2
mechdef_panther_PNT-9R,Mech,1,2
mechdef_panther_PNT-9ALAG,Mech,1,2
mechdef_panther_PNT-8Z,Mech,1,2
mechdef_panther_PNT-10K,Mech,1,2
mechdef_urbanmech_UM-R60,Mech,1,1
mechdef_urbanmech_UM-R60C,Mech,1,1
mechdef_urbanmech_UM-R60L,Mech,1,1
mechdef_urbanmech_UM-R60X,Mech,1,1
mechdef_urbanmech_UM-R63,Mech,1,1
mechdef_urbanmech_UM-R69,Mech,1,1
mechdef_urbanmech_UM-R70,Mech,1,1
mechdef_urbanmech_UM-R90,Mech,1,1
mechdef_wolfhound_WLF_1,Mech,1,2
mechdef_wolfhound_WLF_1A,Mech,1,2
